0 [1.50e+00, 1.40e+00, 1.30e+00, 5.00e-01]
10 [1.49e+00, 1.39e+00, 1.29e+00, 4.93e-01]
20 [1.49e+00, 1.39e+00, 1.29e+00, 4.90e-01]
30 [1.49e+00, 1.39e+00, 1.29e+00, 4.89e-01]
40 [1.49e+00, 1.39e+00, 1.29e+00, 4.89e-01]
50 [1.49e+00, 1.39e+00, 1.29e+00, 4.88e-01]
60 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
70 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
80 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
90 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
100 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
110 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
120 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
130 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
140 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
150 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
160 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
170 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
180 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
190 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
200 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
210 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
220 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
230 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
240 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
250 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
260 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
270 [1.49e+00, 1.38e+00, 1.29e+00, 4.88e-01]
280 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
290 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
300 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
310 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
320 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
330 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
340 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
350 [1.49e+00, 1.38e+00, 1.29e+00, 4.89e-01]
