t,x1,x2
1.486273736904022,10,-10
-0.9795614237185921,10,-10
0.4701723570072214,10,-10
0.4845725966564234,10,-10
0.08530076966455624,10,-10
-1.351252754943867,10,-10
1.1143494650156307,10,-10
-1.3861499857656123,10,-10
-0.922088188294865,10,-10
0.6501498189658306,10,-10
1.7931263310129415,10,-10
-0.3936031930721344,10,-10
-0.18625604799237694,10,-10
-0.1645722107326133,10,-10
0.21146253025948525,10,-10
-1.9971248990761947,10,-10
0.6314755940328287,10,-10
0.3469020936665874,10,-10
-1.020616120568096,10,-10
-0.009393387507403705,10,-10
1.8138889342082085,10,-10
1.0509497547537068,10,-10
-0.660561212208759,10,-10
-0.33912003762822174,10,-10
1.8854350059318148,10,-10
0.07881811415426121,10,-10
1.583974503585511,10,-10
0.949304299217995,10,-10
1.4565352324955598,10,-10
-0.543143384158645,10,-10
0.34277346796946784,10,-10
-0.7089817661887485,10,-10
-0.390011186175812,10,-10
-0.32474859341242146,10,-10
1.3867594919311332,10,-10
-1.5791547231617518,10,-10
0.5554621487227891,10,-10
0.8251625130743583,10,-10
-0.531429296513172,10,-10
0.45591902275180995,10,-10
-0.6099950094109303,10,-10
1.6589026867344194,10,-10
1.198912435782514,10,-10
0.3578359024890445,10,-10
0.3066773381221841,10,-10
0.6237765754059894,10,-10
0.9303825401533867,10,-10
0.7031493466238032,10,-10
1.119531014470034,10,-10
-0.42519328298577275,10,-10
1.8605859348178027,10,-10
-1.800537446492608,10,-10
1.685742799319366,10,-10
-1.990183925734256,10,-10
1.8922573065576054,10,-10
-1.7069683983097823,10,-10
0.786307718336305,10,-10
-1.4663310189268857,10,-10
-0.07107314665662923,10,-10
-0.17219242930722167,10,-10
-0.7990661794498135,10,-10
-0.06170259969776826,10,-10
0.2155012367089877,10,-10
-0.6823483381924857,10,-10
0.21623344528925026,10,-10
-0.18725744597034089,10,-10
0.6966579151641503,10,-10
1.7834235745679403,10,-10
0.20961971735961438,10,-10
1.24774388494206,10,-10
-0.9218041077662154,10,-10
-0.504858482643141,10,-10
0.9147946257030504,10,-10
-0.4196020451333329,10,-10
0.29903162145663487,10,-10
0.21539365634703245,10,-10
1.0134352434262075,10,-10
0.05158779979799277,10,-10
-1.0138384336147652,10,-10
-0.759080178792205,10,-10
-0.9475470042349836,10,-10
-1.7569887116548544,10,-10
1.7347404301369593,10,-10
1.8823723506384518,10,-10
-0.47530437145801674,10,-10
1.039983674876567,10,-10
0.7462444195839106,10,-10
-0.8748469515739581,10,-10
-0.15491521877192937,10,-10
0.6638652915085363,10,-10
-0.6197667582801136,10,-10
-1.177246576257295,10,-10
1.9946242853429652,10,-10
1.950347589839839,10,-10
-1.4759318853329773,10,-10
-0.2750542592454921,10,-10
0.1401276123252968,10,-10
1.9462853408081608,10,-10
-1.463498131031649,10,-10
0.23107169493475332,10,-10
